TP,FP,FN,TN,IoU,Precision,Recall,F1,Positive_Ratio_%,Area_Group,Sample
161,18,54,16151,0.6909871244635193,0.8994413407821229,0.7488372093023256,0.817258883248731,1.312255859375,1-3%,image_235.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_236.h5
34,82,222,16046,0.10059171597633136,0.29310344827586204,0.1328125,0.1827956989247312,1.5625,1-3%,image_237.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_238.h5
10,4,129,16241,0.06993006993006994,0.7142857142857143,0.07194244604316546,0.13071895424836602,0.848388671875,0-1%,image_239.h5
51,0,5037,11296,0.010023584905660377,1.0,0.010023584905660377,0.0198482194979568,31.0546875,>5%,image_24.h5
93,24,192,16075,0.30097087378640774,0.7948717948717948,0.3263157894736842,0.4626865671641791,1.739501953125,1-3%,image_240.h5
191,0,252,15941,0.43115124153498874,1.0,0.43115124153498874,0.6025236593059937,2.703857421875,1-3%,image_241.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_242.h5
0,4,0,16380,0.0,0.0,0.0,0.0,0.0,0-1%,image_243.h5
11,0,58,16315,0.15942028985507245,1.0,0.15942028985507245,0.275,0.421142578125,0-1%,image_244.h5
0,5,138,16241,0.0,0.0,0.0,0.0,0.84228515625,0-1%,image_245.h5
0,0,8,16376,0.0,0.0,0.0,0.0,0.048828125,0-1%,image_246.h5
42,5,239,16098,0.14685314685314685,0.8936170212765957,0.1494661921708185,0.25609756097560976,1.715087890625,1-3%,image_247.h5
31,0,57,16296,0.3522727272727273,1.0,0.3522727272727273,0.5210084033613446,0.537109375,0-1%,image_248.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_249.h5
157,11,2896,13320,0.051240208877284595,0.9345238095238095,0.05142482803799541,0.09748525302701025,18.634033203125,>5%,image_25.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_250.h5
7,1,37,16339,0.15555555555555556,0.875,0.1590909090909091,0.2692307692307692,0.2685546875,0-1%,image_251.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_252.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_253.h5
0,0,156,16228,0.0,0.0,0.0,0.0,0.9521484375,0-1%,image_254.h5
28,0,61,16295,0.3146067415730337,1.0,0.3146067415730337,0.47863247863247865,0.543212890625,0-1%,image_255.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_256.h5
121,732,39,15492,0.13565022421524664,0.141852286049238,0.75625,0.2388943731490622,0.9765625,0-1%,image_257.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_258.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_259.h5
16,17,273,16078,0.05228758169934641,0.48484848484848486,0.05536332179930796,0.09937888198757763,1.763916015625,1-3%,image_26.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_260.h5
42,169,21,16152,0.1810344827586207,0.1990521327014218,0.6666666666666666,0.30656934306569344,0.384521484375,0-1%,image_261.h5
0,0,123,16261,0.0,0.0,0.0,0.0,0.750732421875,0-1%,image_262.h5
0,0,13,16371,0.0,0.0,0.0,0.0,0.079345703125,0-1%,image_263.h5
282,326,168,15608,0.3634020618556701,0.46381578947368424,0.6266666666666667,0.5330812854442344,2.74658203125,1-3%,image_264.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_265.h5
0,0,0,16384,0.0,0.0,0.0,0.0,0.0,0-1%,image_266.h5
207,22,309,15846,0.3847583643122677,0.9039301310043668,0.4011627906976744,0.5557046979865772,3.1494140625,3-5%,image_267.h5
0,0,454,15930,0.0,0.0,0.0,0.0,2.77099609375,1-3%,image_268.h5
0,0,1315,15069,0.0,0.0,0.0,0.0,8.026123046875,>5%,image_269.h5
15,651,645,15073,0.011441647597254004,0.02252252252252252,0.022727272727272728,0.02262443438914027,4.0283203125,3-5%,image_27.h5
0,0,61,16323,0.0,0.0,0.0,0.0,0.372314453125,0-1%,image_270.h5
273,54,313,15744,0.4265625,0.8348623853211009,0.4658703071672355,0.5980284775465499,3.57666015625,3-5%,image_271.h5
